127.0.0.1 - - [19/May/2025:18:36:30 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [19/May/2025:18:36:32 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [19/May/2025:18:36:32 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/May/2025:18:36:53 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [19/May/2025:18:55:11 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [19/May/2025:18:55:12 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/May/2025:18:55:49 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 3231
0:0:0:0:0:0:0:1 - - [19/May/2025:18:55:56 +0530] "GET /Inventory/Hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2025:18:55:57 +0530] "GET /Inventory/Hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2025:18:55:58 +0530] "GET /Inventory/Hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2025:18:56:07 +0530] "GET /Inventory/Hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2025:18:56:26 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [19/May/2025:18:57:02 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [19/May/2025:18:58:23 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 2562
0:0:0:0:0:0:0:1 - - [19/May/2025:18:58:25 +0530] "GET /Inventory/Hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2025:18:59:25 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 2562
0:0:0:0:0:0:0:1 - - [19/May/2025:18:59:26 +0530] "GET /Inventory/Hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2025:18:59:42 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [19/May/2025:18:59:43 +0530] "GET /Inventory/Hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2025:18:59:59 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 2235
0:0:0:0:0:0:0:1 - - [19/May/2025:19:06:46 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 3053
0:0:0:0:0:0:0:1 - - [19/May/2025:19:10:18 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 3053
0:0:0:0:0:0:0:1 - - [19/May/2025:19:10:29 +0530] "GET /Inventory/Hello.html? HTTP/1.1" 200 3053
0:0:0:0:0:0:0:1 - - [19/May/2025:19:10:54 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 3053
0:0:0:0:0:0:0:1 - - [19/May/2025:19:10:55 +0530] "GET /Inventory/Hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2025:19:11:02 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [19/May/2025:19:11:53 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [19/May/2025:19:11:54 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [19/May/2025:19:11:55 +0530] "GET /Inventory/Hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2025:19:11:55 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [19/May/2025:19:12:23 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 3062
0:0:0:0:0:0:0:1 - - [19/May/2025:19:12:23 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [19/May/2025:19:12:42 +0530] "GET /Inventory/Hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2025:19:14:54 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 3360
0:0:0:0:0:0:0:1 - - [19/May/2025:19:18:04 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 6572
0:0:0:0:0:0:0:1 - - [19/May/2025:19:18:32 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [19/May/2025:19:19:01 +0530] "GET /Inventory/Hello.html HTTP/1.1" 200 6545
0:0:0:0:0:0:0:1 - - [19/May/2025:19:19:01 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [19/May/2025:19:24:50 +0530] "GET /Inventory/Hello.html HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [19/May/2025:19:24:50 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [19/May/2025:19:25:04 +0530] "GET /Inventory/Login.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [19/May/2025:19:25:24 +0530] "GET /Inventory/Login.html HTTP/1.1" 200 6607
0:0:0:0:0:0:0:1 - - [19/May/2025:19:25:36 +0530] "POST /Inventory/login.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [19/May/2025:19:25:56 +0530] "POST /Inventory/login.jsp HTTP/1.1" 404 740
