127.0.0.1 - - [04/Jun/2025:18:08:40 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:08:43 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 6140
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:08:44 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:09:22 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:17:35 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 500 2797
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:17:53 +0530] "GET /Paper_inventory/SavePurchase.jsp HTTP/1.1" 500 2807
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:19:16 +0530] "GET /Paper_inventory/SavePurchase.jsp HTTP/1.1" 500 2807
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:20:17 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:22:00 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:22:07 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:23:24 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 7215
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:25:03 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 7232
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:26:16 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 7325
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:27:37 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 7326
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:27:55 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 7325
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:28:48 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 7299
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:29:27 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 7310
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:51:26 +0530] "GET /Paper_inventory/SavePurchase.jsp HTTP/1.1" 500 2807
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:51:49 +0530] "GET /Paper_inventory/SavePurchase.jsp HTTP/1.1" 500 2807
0:0:0:0:0:0:0:1 - - [04/Jun/2025:18:51:50 +0530] "GET /Paper_inventory/SavePurchase.jsp HTTP/1.1" 500 2873
